distrito,año,Superficie (Ha.),Población densidad (hab./Ha.),Número Habitantes,Población Hombres,Población Mujeres,Edad media de la población,Población de 0 a 14 años,Población de 15 a 29 años,Población de 30 a 44  años,Población de 45 a 64 años,Población de 65 a 79 años,Población de 80 años y más,Población de 65 años y más,Personas con nacionalidad española,Personas con nacionalidad española Hombres,Personas con nacionalidad española Mujeres,Personas con nacionalidad extranjera,Personas con nacionalidad extranjera Hombres,Personas con nacionalidad extranjera Mujeres,Renta neta media anual de los hogares (Urban Audit),Renta disponible media por persona,Paro registrado (número de personas registradas en SEPE en febrero),Paro registrado (número de personas registradas en SEPE en febrero) hombres,Paro registrado (número de personas registradas en SEPE en febrero) mujeres,Tasa absoluta de paro registrado (febrero),Tasa absoluta de paro registrado Mujeres,Tasa de desempleo en mujeres de 16 a 24 años,Tasa de desempleo en mujeres de 25 a 44 años,Tasa de desempleo en mujeres de 45 a 64 años,Tasa absoluta de paro registrado Hombres,Tasa de desempleo en hombres de 16 a 24 años,Tasa de desempleo en hombres de 25 a 44 años,Tasa de desempleo en hombres de 45 a 64 años,Personas paradas de larga duración (febrero),Personas paradas de larga duración (febrero) hombres,Personas paradas de larga duración (febrero) mujeres,Personas paradas que SÍ perciben prestaciones (febrero),Personas paradas que SÍ perciben prestaciones (febrero) hombres,Personas paradas que SÍ perciben prestaciones (febrero) mujeres,Personas paradas que NO perciben prestaciones (febrero),Personas paradas que NO perciben prestaciones (febrero) hombres,Personas paradas que NO perciben prestaciones (febrero) mujeres,Población en etapas educativas,Alumnado en Centros privados concertados,Alumnado en Centros privados sin concierto,Alumnado en Centros públicos,Total alumnado extranjero,Alumnado extranjero en Centros privados concertados,Alumnado extranjero en Centros privados sin concierto,Alumnado extranjero en Centros públicos,Total alumnado con necesidades de apoyo educativo,Alumnado con necesidades de apoyo educativo en Centros privados concertados,Alumnado con necesidades de apoyo educativo en Centros privados sin concierto,Alumnado con necesidades de apoyo educativo en Centros públicos,Población mayor/igual  de 25 años  que no sabe leer ni escribir o sin estudios,Población mayor/igual  de 25 años con enseñanza primaria incompleta,"Población mayor/igual  de 25 años con Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado","Población mayor/igual  de 25 años con Formación profesional 2º grado, Bachiller Superior o BUP","Población mayor/igual  de 25 años con titulación media, diplomatura, arquitectura o ingeniería técnica","Población mayor/igual  de 25 años  con estudios superiores, licenciatura, arquitectura, ingeniería sup., estudios sup. no universitarios, doctorado,  postgraduado",Población mayor/igual  de 25 años con Nivel de estudios desconocido y/o no consta,Casos trabajados por el programa de absentismo municipal,Número de personas con grado de discapacidad reconocido,Número de personas con grado de discapacidad reconocido Hombres,Número de personas con grado de discapacidad reconocido Mujeres,Satisfacción de vivir en su barrio,Calidad de vida actual en su barrio,Percepción de seguridad en Madrid,Percepción de seguridad en el barrio por el día,Percepción de seguridad en el barrio por la noche,Solicitudes tramitadas de Renta Mínima de Inserción,Personas perceptoras de prestación de la Renta Mínima de Inserción,Personas beneficiarias de prestaciones sociales de carácter económico,Total prestaciones sociales de carácter económico,Personas con Servicio de Ayuda a Domicilio (modalidad auxiliar de hogar),Número Total de viviendas (Censo Edificios y Viviendas 2011),Viviendas anteriores a 1980,Viviendas en estado ruinoso,Viviendas en estado malo,Viviendas en estado deficiente,Viviendas en estado bueno,Estado de la vivienda no consta,Número Total de viviendas familiares (Censo Edificios y Viviendas 2011),Número Total de viviendas familiares (Censo Edificios y Viviendas 2011) Principal,Número Total de viviendas familiares (Censo Edificios y Viviendas 2011)  Secundaria,Número Total de viviendas familiares (Censo Edificios y Viviendas 2011)  Población desocupada,Intervenciones de la Policía Municipal en materia de seguridad: delitos relacionados con las personas,Intervenciones de la Policía Municipal en materia de seguridad: relacionadas con la tenencia de armas,Intervenciones de la Policía Municipal en materia de seguridad: relacionadas con el patrimonio,Intervenciones de la Policía Municipal en materia de seguridad: relacionadas con la tenencia y consumo de drogas,Atestados/partes de accidentes de tráfico confeccionados,Personas detenidas e investigadas por la Policía Municipal en materia de seguridad: Total  personas detenidas e investigadas,"Elecciones municipales, censo electoral","Elecciones municipales, abstenciones","Elecciones  municipales, votos en blanco","Elecciones municipales, votos a candidaturas","Elecciones municipales, votos a Más Madrid","Elecciones municipales, votos al Partido Popular","Elecciones municipales, votos a Ciudadanos-Partido de la Ciudadanía","Elecciones municipales, votos al Partido Socialista Obrero Español","Elecciones municipales, votos a VOX",Sedentarismo,Consumo de tabaco diario,Consumo de medicamentos,Autopercepción de buen estado de salud  (porcentaje respuesta muy buena + buena),Calidad de vida relacionada con la salud (CVRS),Presencia de enfermedad crónica,Hipertensión arterial,Diabetes Mellitus,Personas con obesidad,Personas con sobrepeso,Prevalencia de obesidad en la población infantil (2017. Estudio Madrid Salud. UCM),Probabilidad de padecer enfermedad mental (GHQ-12)          (2018. EMS),Grado de satisfacción con los espacios verdes,Grado de satisfacción con los parques infantiles,Grado de satisfacción con los centros culturales,Grado de satisfacción con las instalaciones deportivas,Grado de satisfacción de los servicios sociales municipales,Superficie media construida (m2) inmuebles de uso residencial,Año medio de contrucción de inmuebles de uso residencial,Total hogares,Tamaño medio del hogar,Hogares con una mujer sola mayor de 65 años,Hogares con un hombre solo mayor de 65 años,Hogares monoparentales: una mujer adulta con uno o más menores,Hogares monoparentales: un hombre adulto con uno o más menores,Tasa de crecimiento demográfico (porcentaje),Esperanza de vida al nacer Mujeres,Esperanza de vida al nacer Hombres,Esperanza de vida mayor de 65 años Mujeres,Esperanza de vida mayor de 65 años Hombres,Crecimiento/decrecimiento Renta Bruta Per cápita 2016(a)-2008,Pensión media mensual Hombres,"Pensión media mensual  Mujeres
"
Centro,2019,523.0,258.0,134881.0,67829.0,67052.0,44.03,10554.0,21800.0,42857.0,38025.0,14196.0,7449.0,21645.0,104041.0,51264.0,52777.0,30837.0,16564.0,14273.0,32458.0,24920.0,7595.0,3974.0,3621.0,7.05,7.15,2.87,6.01,9.91,6.96,3.03,5.34,10.23,2523.0,1308.0,1215.0,2523.0,1308.0,1215.0,4215.0,2184.0,2031.0,11171.0,5717.0,1695.0,8482.0,2561.0,1340.0,148.0,1073.0,664.0,422.0,14.0,227.0,3458.0,8982.0,21654.0,21229.0,11215.0,48567.0,93.0,92.0,12729.0,6378.0,6351.0,7.73,7.36,7.65,8.27,6.98,,790.0,,481457.0,,86795.0,74370.0,330.0,1725.0,7895.0,74970.0,1875.0,86795.0,70500.0,5095.0,11200.0,943.0,716.0,1439.0,2155.0,1271.0,1852.0,98873.0,32505.0,273.0,65900.0,32421.0,11379.0,8851.0,6069.0,3625.0,,,,,,,,,,,,,6.5,5.4,6.9,5.5,5.9,,1926.0,67296.0,2.0,5117.0,2171.0,922.0,194.0,1.89,88.0,81.0,24.0,20.0,2509.0,1368.0,934.0
Centro,2018,,,,,,,,,,,,,,,,,,,,36072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.0,926.0,916.0,473079.0,2357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.23,0.63,0.76,0.2,0.34,0.13,0.04,0.09,0.26,0.17,0.22,,,,,,,,,,,,,,,,,,,,,
Centro,2020,,,,,,,,,,,,,,106387.0,52871.0,53516.0,34084.0,18255.0,15829.0,36984.0,18314.0,,,,,,,,,,,,,,,,,,,,,,10919.0,5620.0,1854.0,8460.0,2689.0,1310.0,254.0,1125.0,702.0,386.0,12.0,304.0,3292.0,8630.0,21988.0,21928.0,11344.0,52974.0,85.0,87.0,13366.0,6704.0,,,,,,,361.0,653.0,,421419.0,2285.0,,,,,,,,,,,,431.0,303.0,848.0,1309.0,734.0,1297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,1926.0,69187.0,2.03,5057.0,2269.0,815.0,172.0,0.5,86.0,80.0,23.0,18.0,,1392.0,1160.0
Arganzuela,2019,646.0,238.0,153830.0,71631.0,82199.0,44.55,18187.0,22294.0,38224.0,45479.0,19685.0,9961.0,29646.0,138533.0,64425.0,74108.0,15295.0,7205.0,8090.0,,24137.0,6802.0,3076.0,3726.0,,,,,,,,,,2443.0,995.0,1448.0,2443.0,995.0,1448.0,3587.0,1514.0,2073.0,19400.0,5537.0,2960.0,9283.0,1352.0,443.0,56.0,853.0,517.0,237.0,15.0,264.0,3135.0,10120.0,24471.0,24002.0,15086.0,46042.0,157.0,64.0,9676.0,4328.0,5348.0,8.13,7.79,6.71,8.48,6.86,,230.0,,180710.0,,76260.0,45920.0,540.0,1885.0,7200.0,65310.0,1320.0,76260.0,67175.0,2365.0,6725.0,199.0,19.0,287.0,306.0,949.0,291.0,120913.0,30928.0,388.0,89317.0,35017.0,18850.0,16757.0,9464.0,5772.0,,,,,,,,,,,,,7.0,6.6,7.1,6.6,6.2,,1976.0,65005.0,2.37,6008.0,1722.0,1107.0,232.0,1.18,89.0,84.0,24.9,21.1,,1594.0,1116.0
Arganzuela,2018,,,,,,,,,,,,,,,,,,,,43789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,276.0,278.0,168894.0,2209.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.2,0.67,0.74,0.2,0.43,0.18,0.06,0.1,0.35,0.12,0.17,,,,,,,,,,,,,,0.6,87.0,83.0,24.0,21.0,,1563.0,1091.0
Arganzuela,2016,,,,,,,,,,,,,,,,,,,,41122.0,24511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arganzuela,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2701.0,,
Arganzuela,2020,,,,,,,,,,,,,,139292.0,64861.0,74431.0,16367.0,7738.0,8629.0,45310.0,19284.0,,,,6.39,6.74,2.77,6.22,8.21,6.01,3.4,5.28,7.54,,,,,,,,,,19104.0,5654.0,3415.0,9766.0,1583.0,531.0,137.0,915.0,711.0,372.0,1.0,338.0,2951.0,9674.0,24096.0,24200.0,14965.0,48689.0,145.0,44.0,9891.0,4419.0,,,,,,,163.0,203.0,,379078.0,2188.0,,,,,,,,,,,,100.0,11.0,163.0,181.0,602.0,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,1976.0,65670.0,2.37,6050.0,1747.0,1103.0,226.0,-0.9,86.0,79.0,22.0,18.0,,1646.0,1283.0
Retiro,2019,547.0,218.0,119379.0,54098.0,65281.0,47.04,14096.0,16416.0,25001.0,33118.0,20322.0,10426.0,30748.0,110114.0,50211.0,59903.0,9265.0,3887.0,5378.0,,30190.0,4097.0,1787.0,2310.0,,,,,,,,,,1517.0,604.0,913.0,1517.0,604.0,913.0,2271.0,942.0,1329.0,14979.0,9211.0,2267.0,5474.0,857.0,176.0,36.0,645.0,288.0,123.0,6.0,158.0,1843.0,5922.0,15126.0,18517.0,11831.0,42411.0,134.0,25.0,6306.0,2870.0,3436.0,8.22,8.03,6.5,8.11,6.66,,90.0,,107780.0,,56595.0,43185.0,45.0,255.0,445.0,54950.0,900.0,56595.0,51010.0,1980.0,3605.0,70.0,20.0,86.0,106.0,1082.0,177.0,96176.0,22587.0,266.0,73112.0,20563.0,22792.0,15400.0,6215.0,6201.0,,,,,,,,,,,,,7.6,7.3,7.6,7.4,7.4,,1965.0,48673.0,2.45,5537.0,1508.0,737.0,187.0,0.86,88.0,84.0,25.5,21.6,,1795.0,1218.0
Retiro,2018,,,,,,,,,,,,,,,,,,,,55775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,128.0,179.0,123171.0,1411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.15,0.68,0.77,0.2,0.4,0.2,0.06,0.1,0.37,0.11,0.18,,,,,,,,,,,,,,0.31,88.0,84.0,25.0,22.0,,1719.0,1192.0
Retiro,2016,,,,,,,,,,,,,,,,,,,,52963.0,27616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retiro,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.0,,
Retiro,2020,,,,,,,,,,,,,,110208.0,50251.0,59957.0,10198.0,4266.0,5932.0,56302.0,23227.0,,,,5.5,5.85,1.97,5.46,7.15,5.11,1.69,4.78,6.43,,,,,,,,,,14928.0,9184.0,2400.0,5479.0,991.0,198.0,49.0,744.0,318.0,121.0,10.0,187.0,1732.0,5612.0,14902.0,18469.0,11694.0,44108.0,128.0,23.0,6376.0,2898.0,,,,,,,64.0,80.0,,354920.0,1337.0,,,,,,,,,,,,32.0,11.0,51.0,106.0,668.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,129.0,1965.0,49152.0,2.45,5614.0,1551.0,755.0,179.0,-1.6,86.0,80.0,23.0,19.0,,1859.0,1412.0
Salamanca,2019,539.0,271.0,146148.0,64395.0,81753.0,46.24,15569.0,23762.0,32789.0,39115.0,21888.0,13025.0,34913.0,126773.0,56225.0,70548.0,19375.0,8170.0,11205.0,,35091.0,4717.0,1961.0,2756.0,,,,,,,,,,1702.0,671.0,1031.0,1702.0,671.0,1031.0,2441.0,961.0,1480.0,16586.0,12943.0,3398.0,3189.0,1209.0,571.0,151.0,487.0,457.0,365.0,8.0,83.0,1889.0,6040.0,16947.0,21753.0,12678.0,58513.0,168.0,25.0,6835.0,2906.0,3929.0,7.82,7.75,6.98,8.17,7.3,,106.0,,195645.0,,83575.0,76295.0,70.0,265.0,1255.0,80955.0,1035.0,83575.0,62705.0,7730.0,13140.0,113.0,18.0,438.0,456.0,1735.0,693.0,112709.0,30186.0,343.0,81982.0,16702.0,31356.0,17580.0,6040.0,8625.0,,,,,,,,,,,,,6.4,5.7,6.4,6.0,6.0,,1953.0,62951.0,2.32,7213.0,2108.0,900.0,220.0,1.16,88.0,84.0,24.8,21.4,,1714.0,1179.0
Salamanca,2018,,,,,,,,,,,,,,,,,,,,61466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,128.0,390.0,255549.0,1946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.17,0.66,0.76,0.2,0.41,0.16,0.06,0.12,0.25,0.11,0.17,,,,,,,,,,,,,,0.6,87.0,84.0,24.0,21.0,,1723.0,1153.0
Salamanca,2016,,,,,,,,,,,,,,,,,,,,57147.0,28128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salamanca,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-123.0,,
Salamanca,2020,,,,,,,,,,,,,,126480.0,56241.0,70239.0,21374.0,8979.0,12395.0,60401.0,25932.0,,,,4.89,5.26,1.63,4.37,7.29,4.45,2.08,3.68,6.15,,,,,,,,,,16507.0,12993.0,3852.0,3144.0,1440.0,692.0,229.0,519.0,484.0,348.0,5.0,131.0,1755.0,5701.0,16700.0,21585.0,12474.0,60883.0,161.0,26.0,6892.0,2949.0,,,,,,,81.0,82.0,,368468.0,1836.0,,,,,,,,,,,,79.0,22.0,435.0,425.0,1063.0,558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,1953.0,63477.0,2.33,7213.0,2158.0,874.0,198.0,-1.3,86.0,81.0,23.0,18.0,,1773.0,1370.0
Chamartin,2019,918.0,159.0,145865.0,65565.0,80300.0,45.39,18986.0,21628.0,31956.0,39339.0,21813.0,12143.0,33956.0,132067.0,60057.0,72010.0,13798.0,5508.0,8290.0,,37952.0,4577.0,1948.0,2629.0,,,,,,,,,,1721.0,694.0,1027.0,1721.0,694.0,1027.0,2329.0,947.0,1382.0,20152.0,16780.0,12269.0,7442.0,1824.0,556.0,586.0,682.0,1082.0,755.0,150.0,176.0,1681.0,5340.0,15869.0,20908.0,12760.0,57689.0,324.0,26.0,6625.0,3078.0,3547.0,8.4,8.05,7.49,8.68,7.3,,117.0,,93301.0,,72120.0,59855.0,120.0,175.0,1635.0,69735.0,460.0,72120.0,60785.0,4100.0,7235.0,100.0,15.0,154.0,169.0,1604.0,314.0,113650.0,27869.0,364.0,85227.0,16889.0,33039.0,19358.0,5950.0,8252.0,,,,,,,,,,,,,6.7,6.2,7.1,6.9,6.4,,1970.0,58240.0,2.5,6473.0,1842.0,942.0,253.0,1.15,89.0,84.0,25.3,21.7,,1772.0,1217.0
